[2017-04-27 13:26:50] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:29:22] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:33:13] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined offset: 1',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-admin/includes/dashboard.php',   'line' => 1227, ) [] []
[2017-04-27 13:34:50] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:38:07] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined offset: 1',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-admin/includes/dashboard.php',   'line' => 1227, ) [] []
[2017-04-27 13:38:18] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:41:38] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:44:45] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:48:13] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:52:42] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:55:44] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 13:56:01] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined property: stdClass::$slug',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-admin/includes/class-wp-plugin-install-list-table.php',   'line' => 52, ) [] []
[2017-04-27 13:56:30] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined property: stdClass::$slug',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-admin/includes/class-wp-plugin-install-list-table.php',   'line' => 52, ) [] []
[2017-04-27 13:59:29] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 14:03:10] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 14:07:22] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 14:08:07] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined offset: 1',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-admin/includes/dashboard.php',   'line' => 1227, ) [] []
[2017-04-27 14:10:39] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 14:15:15] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: output',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-content/themes/x/framework/functions/global/admin/thumbnails/height.php',   'line' => 70, ) [] []
[2017-04-27 14:16:50] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined property: stdClass::$slug',   'file' => '/home/content/a2pewpnas01_data02/54/3970454/html/wp-admin/includes/class-wp-plugin-install-list-table.php',   'line' => 52, ) [] []
